,animal,s,stimulus,index,value
0,6,1,shock,0,277
1,6,1,shock,1,500
2,6,1,shock,2,835
3,6,1,shock,3,947
4,6,1,shock,4,1170
5,6,1,shock,5,1506
6,6,1,shock,6,1729
7,6,1,shock,7,1840
8,6,1,shock,8,2176
9,6,1,shock,9,2287
10,6,1,shockCTRL,0,389
11,6,1,shockCTRL,1,611
12,6,1,shockCTRL,2,723
13,6,1,shockCTRL,3,1058
14,6,1,shockCTRL,4,1281
15,6,1,shockCTRL,5,1393
16,6,1,shockCTRL,6,1617
17,6,1,shockCTRL,7,1952
18,6,1,shockCTRL,8,2064
19,6,1,shockCTRL,9,2399
20,6,1,squeak,0,7303
21,6,1,squeak,1,7517
22,6,1,squeak,2,7731
23,6,1,squeak,3,7838
24,6,1,squeak,4,8052
25,6,1,squeak,5,8267
26,6,1,squeak,6,8480
27,6,1,squeak,7,8693
28,6,1,squeak,8,8908
29,6,1,squeak,9,9123
30,6,1,squeakCTRL,0,7197
31,6,1,squeakCTRL,1,7411
32,6,1,squeakCTRL,2,7624
33,6,1,squeakCTRL,3,7945
34,6,1,squeakCTRL,4,8159
35,6,1,squeakCTRL,5,8374
36,6,1,squeakCTRL,6,8587
37,6,1,squeakCTRL,7,8800
38,6,1,squeakCTRL,8,9016
39,6,1,squeakCTRL,9,9231
40,6,1,laserHI,0,3068
41,6,1,laserHI,1,3213
42,6,1,laserHI,2,3718
43,6,1,laserHI,3,4090
44,6,1,laserHI,4,4543
45,6,1,laserHI,5,5190
46,6,1,laserHI,6,5544
47,6,1,laserHI,7,5905
48,6,1,laserHI,8,6588
49,6,1,laserHI,9,6951
50,6,1,laserLO,0,2702
51,6,1,laserLO,1,3353
52,6,1,laserLO,2,3962
53,6,1,laserLO,3,4262
54,6,1,laserLO,4,4817
55,6,1,laserLO,5,4952
56,6,1,laserLO,6,5314
57,6,1,laserLO,7,5777
58,6,1,laserLO,8,6249
59,6,1,laserLO,9,6716
60,6,1,laserCTRL,0,2820
61,6,1,laserCTRL,1,3471
62,6,1,laserCTRL,2,3835
63,6,1,laserCTRL,3,4378
64,6,1,laserCTRL,4,4659
65,6,1,laserCTRL,5,5070
66,6,1,laserCTRL,6,5433
67,6,1,laserCTRL,7,5662
68,6,1,laserCTRL,8,6023
69,6,1,laserCTRL,9,6834
70,6,2,shock,0,277
71,6,2,shock,1,501
72,6,2,shock,2,836
73,6,2,shock,3,947
74,6,2,shock,4,1171
75,6,2,shock,5,1506
76,6,2,shock,6,1729
77,6,2,shock,7,1840
78,6,2,shock,8,2177
79,6,2,shock,9,2288
80,6,2,shockCTRL,0,389
81,6,2,shockCTRL,1,612
82,6,2,shockCTRL,2,725
83,6,2,shockCTRL,3,1058
84,6,2,shockCTRL,4,1282
85,6,2,shockCTRL,5,1394
86,6,2,shockCTRL,6,1617
87,6,2,shockCTRL,7,1953
88,6,2,shockCTRL,8,2065
89,6,2,shockCTRL,9,2400
90,6,2,squeak,0,7301
91,6,2,squeak,1,7515
92,6,2,squeak,2,7728
93,6,2,squeak,3,7835
94,6,2,squeak,4,8049
95,6,2,squeak,5,8263
96,6,2,squeak,6,8477
97,6,2,squeak,7,8692
98,6,2,squeak,8,8906
99,6,2,squeak,9,9119
100,6,2,squeakCTRL,0,7195
101,6,2,squeakCTRL,1,7409
102,6,2,squeakCTRL,2,7621
103,6,2,squeakCTRL,3,7942
104,6,2,squeakCTRL,4,8156
105,6,2,squeakCTRL,5,8370
106,6,2,squeakCTRL,6,8585
107,6,2,squeakCTRL,7,8799
108,6,2,squeakCTRL,8,9013
109,6,2,squeakCTRL,9,9226
110,6,2,laserHI,0,3067
111,6,2,laserHI,1,3212
112,6,2,laserHI,2,3717
113,6,2,laserHI,3,4089
114,6,2,laserHI,4,4543
115,6,2,laserHI,5,5191
116,6,2,laserHI,6,5543
117,6,2,laserHI,7,5903
118,6,2,laserHI,8,6585
119,6,2,laserHI,9,6948
120,6,2,laserLO,0,2702
121,6,2,laserLO,1,3352
122,6,2,laserLO,2,3961
123,6,2,laserLO,3,4261
124,6,2,laserLO,4,4818
125,6,2,laserLO,5,4953
126,6,2,laserLO,6,5315
127,6,2,laserLO,7,5775
128,6,2,laserLO,8,6247
129,6,2,laserLO,9,6713
130,6,2,laserCTRL,0,2820
131,6,2,laserCTRL,1,3470
132,6,2,laserCTRL,2,3834
133,6,2,laserCTRL,3,4378
134,6,2,laserCTRL,4,4660
135,6,2,laserCTRL,5,5070
136,6,2,laserCTRL,6,5433
137,6,2,laserCTRL,7,5661
138,6,2,laserCTRL,8,6021
139,6,2,laserCTRL,9,6831
140,6,3,shock,0,276
141,6,3,shock,1,499
142,6,3,shock,2,832
143,6,3,shock,3,944
144,6,3,shock,4,1166
145,6,3,shock,5,1502
146,6,3,shock,6,1726
147,6,3,shock,7,1838
148,6,3,shock,8,2174
149,6,3,shock,9,2284
150,6,3,shockCTRL,0,387
151,6,3,shockCTRL,1,609
152,6,3,shockCTRL,2,721
153,6,3,shockCTRL,3,1054
154,6,3,shockCTRL,4,1278
155,6,3,shockCTRL,5,1390
156,6,3,shockCTRL,6,1614
157,6,3,shockCTRL,7,1950
158,6,3,shockCTRL,8,2062
159,6,3,shockCTRL,9,2396
160,6,3,squeak,0,7296
161,6,3,squeak,1,7510
162,6,3,squeak,2,7724
163,6,3,squeak,3,7831
164,6,3,squeak,4,8044
165,6,3,squeak,5,8259
166,6,3,squeak,6,8474
167,6,3,squeak,7,8688
168,6,3,squeak,8,8903
169,6,3,squeak,9,9116
170,6,3,squeakCTRL,0,7189
171,6,3,squeakCTRL,1,7404
172,6,3,squeakCTRL,2,7617
173,6,3,squeakCTRL,3,7937
174,6,3,squeakCTRL,4,8152
175,6,3,squeakCTRL,5,8367
176,6,3,squeakCTRL,6,8582
177,6,3,squeakCTRL,7,8795
178,6,3,squeakCTRL,8,9010
179,6,3,squeakCTRL,9,9224
180,6,3,laserHI,0,3062
181,6,3,laserHI,1,3207
182,6,3,laserHI,2,3712
183,6,3,laserHI,3,4081
184,6,3,laserHI,4,4535
185,6,3,laserHI,5,5183
186,6,3,laserHI,6,5536
187,6,3,laserHI,7,5896
188,6,3,laserHI,8,6579
189,6,3,laserHI,9,6943
190,6,3,laserLO,0,2697
191,6,3,laserLO,1,3346
192,6,3,laserLO,2,3954
193,6,3,laserLO,3,4253
194,6,3,laserLO,4,4810
195,6,3,laserLO,5,4945
196,6,3,laserLO,6,5308
197,6,3,laserLO,7,5768
198,6,3,laserLO,8,6240
199,6,3,laserLO,9,6708
200,6,3,laserCTRL,0,2815
201,6,3,laserCTRL,1,3464
202,6,3,laserCTRL,2,3828
203,6,3,laserCTRL,3,4370
204,6,3,laserCTRL,4,4652
205,6,3,laserCTRL,5,5062
206,6,3,laserCTRL,6,5426
207,6,3,laserCTRL,7,5653
208,6,3,laserCTRL,8,6014
209,6,3,laserCTRL,9,6826
210,11,1,shock,0,267
211,11,1,shock,1,491
212,11,1,shock,2,828
213,11,1,shock,3,1052
214,11,1,shock,4,1164
215,11,1,shock,5,1387
216,11,1,shock,6,1724
217,11,1,shock,7,1836
218,11,1,shock,8,2172
219,11,1,shock,9,2284
220,11,1,shockCTRL,0,379
221,11,1,shockCTRL,1,603
222,11,1,shockCTRL,2,716
223,11,1,shockCTRL,3,940
224,11,1,shockCTRL,4,1275
225,11,1,shockCTRL,5,1500
226,11,1,shockCTRL,6,1612
227,11,1,shockCTRL,7,1948
228,11,1,shockCTRL,8,2060
229,11,1,shockCTRL,9,2396
230,11,1,squeak,0,6843
231,11,1,squeak,1,7057
232,11,1,squeak,2,7271
233,11,1,squeak,3,7485
234,11,1,squeak,4,7699
235,11,1,squeak,5,8018
236,11,1,squeak,6,8126
237,11,1,squeak,7,8340
238,11,1,squeak,8,8553
239,11,1,squeak,9,8768
240,11,1,squeakCTRL,0,6949
241,11,1,squeakCTRL,1,7163
242,11,1,squeakCTRL,2,7378
243,11,1,squeakCTRL,3,7592
244,11,1,squeakCTRL,4,7805
245,11,1,squeakCTRL,5,7911
246,11,1,squeakCTRL,6,8233
247,11,1,squeakCTRL,7,8447
248,11,1,squeakCTRL,8,8661
249,11,1,squeakCTRL,9,8874
250,11,1,laserHI,0,2913
251,11,1,laserHI,1,3178
252,11,1,laserHI,2,3665
253,11,1,laserHI,3,4094
254,11,1,laserHI,4,4444
255,11,1,laserHI,5,4894
256,11,1,laserHI,6,5290
257,11,1,laserHI,7,5681
258,11,1,laserHI,8,5952
259,11,1,laserHI,9,6624
260,11,1,laserLO,0,2728
261,11,1,laserLO,1,3423
262,11,1,laserLO,2,3821
263,11,1,laserLO,3,3953
264,11,1,laserLO,4,4592
265,11,1,laserLO,5,4728
266,11,1,laserLO,6,5152
267,11,1,laserLO,7,5824
268,11,1,laserLO,8,6116
269,11,1,laserLO,9,6460
270,11,1,laserCTRL,0,3032
271,11,1,laserCTRL,1,3297
272,11,1,laserCTRL,2,3525
273,11,1,laserCTRL,3,4213
274,11,1,laserCTRL,4,4315
275,11,1,laserCTRL,5,5013
276,11,1,laserCTRL,6,5409
277,11,1,laserCTRL,7,5512
278,11,1,laserCTRL,8,6225
279,11,1,laserCTRL,9,6328
280,11,2,shock,0,268
281,11,2,shock,1,492
282,11,2,shock,2,829
283,11,2,shock,3,1053
284,11,2,shock,4,1165
285,11,2,shock,5,1389
286,11,2,shock,6,1725
287,11,2,shock,7,1837
288,11,2,shock,8,2173
289,11,2,shock,9,2286
290,11,2,shockCTRL,0,380
291,11,2,shockCTRL,1,604
292,11,2,shockCTRL,2,717
293,11,2,shockCTRL,3,941
294,11,2,shockCTRL,4,1277
295,11,2,shockCTRL,5,1501
296,11,2,shockCTRL,6,1613
297,11,2,shockCTRL,7,1949
298,11,2,shockCTRL,8,2061
299,11,2,shockCTRL,9,2398
300,11,2,squeak,0,6848
301,11,2,squeak,1,7061
302,11,2,squeak,2,7275
303,11,2,squeak,3,7488
304,11,2,squeak,4,7701
305,11,2,squeak,5,8022
306,11,2,squeak,6,8129
307,11,2,squeak,7,8343
308,11,2,squeak,8,8556
309,11,2,squeak,9,8769
310,11,2,squeakCTRL,0,6954
311,11,2,squeakCTRL,1,7168
312,11,2,squeakCTRL,2,7382
313,11,2,squeakCTRL,3,7594
314,11,2,squeakCTRL,4,7808
315,11,2,squeakCTRL,5,7915
316,11,2,squeakCTRL,6,8236
317,11,2,squeakCTRL,7,8450
318,11,2,squeakCTRL,8,8663
319,11,2,squeakCTRL,9,8876
320,11,2,laserHI,0,2915
321,11,2,laserHI,1,3181
322,11,2,laserHI,2,3668
323,11,2,laserHI,3,4097
324,11,2,laserHI,4,4449
325,11,2,laserHI,5,4900
326,11,2,laserHI,6,5296
327,11,2,laserHI,7,5687
328,11,2,laserHI,8,5958
329,11,2,laserHI,9,6629
330,11,2,laserLO,0,2731
331,11,2,laserLO,1,3425
332,11,2,laserLO,2,3824
333,11,2,laserLO,3,3955
334,11,2,laserLO,4,4597
335,11,2,laserLO,5,4733
336,11,2,laserLO,6,5157
337,11,2,laserLO,7,5830
338,11,2,laserLO,8,6122
339,11,2,laserLO,9,6465
340,11,2,laserCTRL,0,3034
341,11,2,laserCTRL,1,3299
342,11,2,laserCTRL,2,3528
343,11,2,laserCTRL,3,4217
344,11,2,laserCTRL,4,4319
345,11,2,laserCTRL,5,5019
346,11,2,laserCTRL,6,5415
347,11,2,laserCTRL,7,5518
348,11,2,laserCTRL,8,6230
349,11,2,laserCTRL,9,6332
350,11,3,shock,0,268
351,11,3,shock,1,492
352,11,3,shock,2,828
353,11,3,shock,3,1054
354,11,3,shock,4,1165
355,11,3,shock,5,1389
356,11,3,shock,6,1726
357,11,3,shock,7,1837
358,11,3,shock,8,2174
359,11,3,shock,9,2287
360,11,3,shockCTRL,0,380
361,11,3,shockCTRL,1,603
362,11,3,shockCTRL,2,716
363,11,3,shockCTRL,3,941
364,11,3,shockCTRL,4,1277
365,11,3,shockCTRL,5,1502
366,11,3,shockCTRL,6,1613
367,11,3,shockCTRL,7,1949
368,11,3,shockCTRL,8,2062
369,11,3,shockCTRL,9,2398
370,11,3,squeak,0,6849
371,11,3,squeak,1,7062
372,11,3,squeak,2,7276
373,11,3,squeak,3,7490
374,11,3,squeak,4,7704
375,11,3,squeak,5,8024
376,11,3,squeak,6,8131
377,11,3,squeak,7,8344
378,11,3,squeak,8,8557
379,11,3,squeak,9,8772
380,11,3,squeakCTRL,0,6955
381,11,3,squeakCTRL,1,7168
382,11,3,squeakCTRL,2,7383
383,11,3,squeakCTRL,3,7596
384,11,3,squeakCTRL,4,7810
385,11,3,squeakCTRL,5,7917
386,11,3,squeakCTRL,6,8237
387,11,3,squeakCTRL,7,8450
388,11,3,squeakCTRL,8,8665
389,11,3,squeakCTRL,9,8878
390,11,3,laserHI,0,2914
391,11,3,laserHI,1,3179
392,11,3,laserHI,2,3666
393,11,3,laserHI,3,4096
394,11,3,laserHI,4,4447
395,11,3,laserHI,5,4898
396,11,3,laserHI,6,5294
397,11,3,laserHI,7,5684
398,11,3,laserHI,8,5957
399,11,3,laserHI,9,6629
400,11,3,laserLO,0,2730
401,11,3,laserLO,1,3424
402,11,3,laserLO,2,3823
403,11,3,laserLO,3,3954
404,11,3,laserLO,4,4596
405,11,3,laserLO,5,4732
406,11,3,laserLO,6,5156
407,11,3,laserLO,7,5828
408,11,3,laserLO,8,6120
409,11,3,laserLO,9,6464
410,11,3,laserCTRL,0,3033
411,11,3,laserCTRL,1,3298
412,11,3,laserCTRL,2,3526
413,11,3,laserCTRL,3,4215
414,11,3,laserCTRL,4,4318
415,11,3,laserCTRL,5,5018
416,11,3,laserCTRL,6,5413
417,11,3,laserCTRL,7,5516
418,11,3,laserCTRL,8,6229
419,11,3,laserCTRL,9,6331
420,12,1,shock,0,465
421,12,1,shock,1,689
422,12,1,shock,2,914
423,12,1,shock,3,1138
424,12,1,shock,4,2736
425,12,1,shock,5,1476
426,12,1,shock,6,1811
427,12,1,shock,7,2036
428,12,1,shock,8,2261
429,12,1,shock,9,2373
430,12,1,shockCTRL,0,352
431,12,1,shockCTRL,1,576
432,12,1,shockCTRL,2,802
433,12,1,shockCTRL,3,1027
434,12,1,shockCTRL,4,1363
435,12,1,shockCTRL,5,1588
436,12,1,shockCTRL,6,1700
437,12,1,shockCTRL,7,1924
438,12,1,shockCTRL,8,2148
439,12,1,shockCTRL,9,2485
440,12,1,squeak,0,7603
441,12,1,squeak,1,7818
442,12,1,squeak,2,8032
443,12,1,squeak,3,8246
444,12,1,squeak,4,8353
445,12,1,squeak,5,8674
446,12,1,squeak,6,8889
447,12,1,squeak,7,9102
448,12,1,squeak,8,9317
449,12,1,squeak,9,9530
450,12,1,squeakCTRL,0,7497
451,12,1,squeakCTRL,1,7711
452,12,1,squeakCTRL,2,7925
453,12,1,squeakCTRL,3,8139
454,12,1,squeakCTRL,4,8460
455,12,1,squeakCTRL,5,8567
456,12,1,squeakCTRL,6,8781
457,12,1,squeakCTRL,7,8995
458,12,1,squeakCTRL,8,9210
459,12,1,squeakCTRL,9,9423
460,12,1,laserHI,0,3117
461,12,1,laserHI,1,3618
462,12,1,laserHI,2,4000
463,12,1,laserHI,3,4142
464,12,1,laserHI,4,4561
465,12,1,laserHI,5,5163
466,12,1,laserHI,6,5555
467,12,1,laserHI,7,6114
468,12,1,laserHI,8,6637
469,12,1,laserHI,9,6913
470,12,1,laserLO,0,3256
471,12,1,laserLO,1,3390
472,12,1,laserLO,2,3766
473,12,1,laserLO,3,4396
474,12,1,laserLO,4,4811
475,12,1,laserLO,5,5041
476,12,1,laserLO,6,5327
477,12,1,laserLO,7,5925
478,12,1,laserLO,8,6411
479,12,1,laserLO,9,7184
480,12,1,laserCTRL,0,2998
481,12,1,laserCTRL,1,3500
482,12,1,laserCTRL,2,3874
483,12,1,laserCTRL,3,4264
484,12,1,laserCTRL,4,4681
485,12,1,laserCTRL,5,4923
486,12,1,laserCTRL,6,5439
487,12,1,laserCTRL,7,5674
488,12,1,laserCTRL,8,6236
489,12,1,laserCTRL,9,7293
490,12,2,shock,0,464
491,12,2,shock,1,688
492,12,2,shock,2,912
493,12,2,shock,3,1136
494,12,2,shock,4,2731
495,12,2,shock,5,1472
496,12,2,shock,6,1808
497,12,2,shock,7,2032
498,12,2,shock,8,2256
499,12,2,shock,9,2369
500,12,2,shockCTRL,0,352
501,12,2,shockCTRL,1,576
502,12,2,shockCTRL,2,800
503,12,2,shockCTRL,3,1024
504,12,2,shockCTRL,4,1360
505,12,2,shockCTRL,5,1584
506,12,2,shockCTRL,6,1696
507,12,2,shockCTRL,7,1920
508,12,2,shockCTRL,8,2144
509,12,2,shockCTRL,9,2481
510,12,2,squeak,0,7589
511,12,2,squeak,1,7803
512,12,2,squeak,2,8017
513,12,2,squeak,3,8231
514,12,2,squeak,4,8338
515,12,2,squeak,5,8659
516,12,2,squeak,6,8873
517,12,2,squeak,7,9086
518,12,2,squeak,8,9299
519,12,2,squeak,9,9512
520,12,2,squeakCTRL,0,7483
521,12,2,squeakCTRL,1,7696
522,12,2,squeakCTRL,2,7910
523,12,2,squeakCTRL,3,8124
524,12,2,squeakCTRL,4,8445
525,12,2,squeakCTRL,5,8552
526,12,2,squeakCTRL,6,8766
527,12,2,squeakCTRL,7,8979
528,12,2,squeakCTRL,8,9193
529,12,2,squeakCTRL,9,9405
530,12,2,laserHI,0,3111
531,12,2,laserHI,1,3609
532,12,2,laserHI,2,3991
533,12,2,laserHI,3,4132
534,12,2,laserHI,4,4550
535,12,2,laserHI,5,5152
536,12,2,laserHI,6,5545
537,12,2,laserHI,7,6103
538,12,2,laserHI,8,6625
539,12,2,laserHI,9,6901
540,12,2,laserLO,0,3249
541,12,2,laserLO,1,3382
542,12,2,laserLO,2,3757
543,12,2,laserLO,3,4385
544,12,2,laserLO,4,4801
545,12,2,laserLO,5,5031
546,12,2,laserLO,6,5317
547,12,2,laserLO,7,5914
548,12,2,laserLO,8,6400
549,12,2,laserLO,9,7172
550,12,2,laserCTRL,0,2993
551,12,2,laserCTRL,1,3491
552,12,2,laserCTRL,2,3866
553,12,2,laserCTRL,3,4254
554,12,2,laserCTRL,4,4670
555,12,2,laserCTRL,5,4913
556,12,2,laserCTRL,6,5429
557,12,2,laserCTRL,7,5664
558,12,2,laserCTRL,8,6225
559,12,2,laserCTRL,9,7280
560,12,3,shock,0,466
561,12,3,shock,1,689
562,12,3,shock,2,913
563,12,3,shock,3,1137
564,12,3,shock,4,2731
565,12,3,shock,5,1472
566,12,3,shock,6,1807
567,12,3,shock,7,2031
568,12,3,shock,8,2255
569,12,3,shock,9,2368
570,12,3,shockCTRL,0,353
571,12,3,shockCTRL,1,577
572,12,3,shockCTRL,2,801
573,12,3,shockCTRL,3,1025
574,12,3,shockCTRL,4,1360
575,12,3,shockCTRL,5,1585
576,12,3,shockCTRL,6,1696
577,12,3,shockCTRL,7,1920
578,12,3,shockCTRL,8,2143
579,12,3,shockCTRL,9,2479
580,12,3,squeak,0,7589
581,12,3,squeak,1,7802
582,12,3,squeak,2,8015
583,12,3,squeak,3,8227
584,12,3,squeak,4,8333
585,12,3,squeak,5,8653
586,12,3,squeak,6,8866
587,12,3,squeak,7,9079
588,12,3,squeak,8,9294
589,12,3,squeak,9,9507
590,12,3,squeakCTRL,0,7482
591,12,3,squeakCTRL,1,7696
592,12,3,squeakCTRL,2,7908
593,12,3,squeakCTRL,3,8121
594,12,3,squeakCTRL,4,8439
595,12,3,squeakCTRL,5,8546
596,12,3,squeakCTRL,6,8759
597,12,3,squeakCTRL,7,8972
598,12,3,squeakCTRL,8,9187
599,12,3,squeakCTRL,9,9400
600,12,3,laserHI,0,3111
601,12,3,laserHI,1,3608
602,12,3,laserHI,2,3990
603,12,3,laserHI,3,4132
604,12,3,laserHI,4,4550
605,12,3,laserHI,5,5153
606,12,3,laserHI,6,5543
607,12,3,laserHI,7,6102
608,12,3,laserHI,8,6624
609,12,3,laserHI,9,6900
610,12,3,laserLO,0,3249
611,12,3,laserLO,1,3382
612,12,3,laserLO,2,3755
613,12,3,laserLO,3,4386
614,12,3,laserLO,4,4801
615,12,3,laserLO,5,5031
616,12,3,laserLO,6,5317
617,12,3,laserLO,7,5913
618,12,3,laserLO,8,6398
619,12,3,laserLO,9,7171
620,12,3,laserCTRL,0,2992
621,12,3,laserCTRL,1,3491
622,12,3,laserCTRL,2,3864
623,12,3,laserCTRL,3,4255
624,12,3,laserCTRL,4,4671
625,12,3,laserCTRL,5,4912
626,12,3,laserCTRL,6,5428
627,12,3,laserCTRL,7,5662
628,12,3,laserCTRL,8,6223
629,12,3,laserCTRL,9,7279
